Protein,True_Subfamily,Predicted_Subfamily,Confidence,Index,is_negative_control
G8YEP6,1.A.88.1,2.A.97.1,1.0,476,False
ANA96049,1.A.89.1,2.A.75.1,0.5113956614920697,481,False
ADX59459,1.A.89.1,2.A.75.1,0.5113956614920697,482,False
U5NGR3,1.A.93.1,2.A.62.1,0.42287346493866457,486,False
E1AA99,1.A.93.2,2.A.62.1,0.42287346493866457,487,False
UKG23804,1.A.94.1,8.A.51.1,0.5996850016662354,491,False
L0N2B4,1.A.96.1,8.A.187.1,0.5063535215762335,494,False
B2BW34,1.A.99.1,8.A.180.1,0.6181745338486478,497,False
P0A927,1.B.10.1,1.C.40.1,0.5126793746621898,498,False
W3VB60,1.B.10.2,1.A.21.1,1.0,503,False
D5EHS6,1.B.10.2,1.C.40.1,0.5126793746621898,504,False
H8JS16,1.B.10.3,1.C.40.1,0.5126793746621898,506,False
E9Z1V5,1.B.13.1,9.A.57.1,0.9997842931446936,512,False
Q0VSL2,1.B.13.1,8.A.68.1,0.9959344285892968,513,False
I4B356,1.B.13.2,8.A.144.1,0.9991146049023664,515,False
J4K5X9,1.B.13.3,8.A.18.1,0.5186506436907189,520,False
A1T0X2,1.B.15.1,8.A.18.3,0.4054596331813772,525,False
C1ADV7,1.B.16.1,9.A.57.1,0.5409808802283465,534,False
D8PFV8,1.B.16.1,9.A.57.1,0.6344748835055622,535,False
F8C3X3,1.B.16.1,8.A.18.1,0.4666099507830953,536,False
D8PHW0,1.B.16.2,8.A.129.1,1.0,543,False
Q7UGJ0,1.B.16.2,1.C.104.2,0.999999999997293,544,False
WP_152053851,1.B.162.1,1.A.71.1,0.9999981107602828,553,False
WP_160129378,1.B.162.1,1.C.136.1,0.3891707149271981,554,False
M2YRU5,1.B.163.1,8.A.202.1,1.0,562,False
A0QP93,1.B.163.1,9.B.126.1,1.0,563,False
WP_231666935,1.B.165.1,2.A.62.1,0.3881955260666048,571,False
I1SBC9,1.B.165.1,2.A.62.1,0.3802667584835131,572,False
Q03961,1.B.18.1,8.A.1.6,0.9999993584459296,574,False
P22236,1.B.18.2,1.A.22.1,0.7889845638670108,578,False
P0A932,1.B.18.3,1.A.22.1,0.7889845638670108,586,False
Q1CVQ0,1.B.18.3,1.A.22.1,0.7889845638670108,587,False
C1F9P1,1.B.19.1,8.A.172.1,0.9979749121434361,595,False
H8FL42,1.B.19.1,2.A.131.1,0.8329012918290947,596,False
WP_024910978,1.B.21.1,1.C.136.1,0.4958237011819671,600,False
EEW1721302,1.B.21.2,2.A.97.1,0.9999995969205245,605,False
B8K3G3,1.B.21.3,2.A.131.1,0.7898718141394575,608,False
Q0SBX7,1.B.24.1,8.A.68.1,0.9840628526094177,615,False
Q0RYN1,1.B.24.1,8.A.18.1,0.47344160630168125,616,False
K5RXM5,1.B.26.1,1.C.136.1,0.38913522036729825,618,False
H2IWN4,1.B.26.2,9.B.146.1,0.648635118178982,620,False
Q8GDI6,1.B.27.1,1.B.27.1,1.0,631,False
Q9S3I7,1.B.27.1,1.B.27.1,1.0,632,False
A0PAQ8,1.B.27.1,1.A.59.1,1.0,633,False
R4Q7V2,1.B.27.2,1.A.59.1,0.9999999999937033,636,False
Q0WMZ5,1.B.30.1,1.C.63.1,0.6808767365721559,638,False
Q9LZH8,1.B.30.2,1.C.63.1,0.6808767365721559,639,False
B8BRM2,1.B.30.3,1.C.63.1,0.6808767365721559,640,False
K4D2B1,1.B.30.4,9.A.43.1,0.9857398532156041,641,False
M2X828,1.B.30.5,1.C.63.1,0.6808767365721559,642,False
B9D0I1,1.B.31.1,2.A.62.1,0.38049547381183485,648,False
B9KFF7,1.B.31.1,2.A.62.1,0.38049547381183485,649,False
SES17047,1.B.34.1,1.C.136.1,0.38348969471759836,657,False
WP_123925997,1.B.34.1,1.C.136.1,0.38348969471759836,658,False
AEX77393,1.B.34.2,1.C.136.1,0.38348969471759836,661,False
SQI24628,1.B.34.3,1.C.136.1,0.38348969471759836,666,False
SIQ09903,1.B.34.4,1.C.136.1,0.38348969471759836,669,False
L0MIX9,1.B.35.1,1.C.136.1,0.4999862434791591,675,False
A6TDJ4,1.B.35.1,1.C.136.1,0.4999862434791591,676,False
KPL05111,1.B.35.2,1.C.136.1,0.4999862434791591,680,False
M4U9K6,1.B.35.3,9.A.43.1,1.0,682,False
C9QGR6,1.B.35.4,1.C.136.1,0.4999862434791591,685,False
F0RWP8,1.B.36.1,1.C.136.1,0.3833966241144331,688,False
H2CJW4,1.B.37.1,1.C.136.1,0.49998170775094863,690,False
D0LRV8,1.B.37.2,1.C.136.1,0.49998170775094863,691,False
Q9A8E5,1.B.39.1,1.C.115.1,0.7749675772267834,699,False
V1E4I3,1.B.39.1,1.C.115.1,0.7749675772267834,700,False
B9M7K9,1.B.39.2,1.C.115.1,0.7749675772267834,702,False
B0VUV8,1.B.39.3,1.C.48.1,0.9999999999898439,703,False
Q8FQT0,1.B.41.1,8.A.205.1,0.9999999961151664,708,False
C0XRQ2,1.B.41.1,2.A.131.1,0.9905811938877269,709,False
Q6GZ99,1.B.49.1,9.B.50.1,1.0,717,False
Q8G8H4,1.B.49.1,2.A.62.1,0.3812863387918295,718,False
Q2S4D9,1.B.5.1,1.A.57.1,1.0,731,False
G6XK71,1.B.5.1,9.A.43.1,0.9999329773338871,732,False
F5SXN1,1.B.5.1,9.A.57.1,0.9986029449658756,733,False
D3SLU1,1.B.5.2,9.A.43.1,0.9999219607020147,735,False
D4U1N3,1.B.50.1,8.A.18.3,0.40700882952658,737,False
S0EUI6,1.B.50.2,8.A.18.3,0.40700882952658,740,False
Q44881,1.B.51.1,9.A.16.1,0.9999999997246396,741,False
B8F2P1,1.B.52.1,8.A.180.1,0.6181745338486478,743,False
A7ZLV9,1.B.53.1,1.B.84.1,0.6678266005797663,747,False
D0LXF9,1.B.60.1,8.A.159.1,1.0,756,False
Q6MQH3,1.B.60.1,9.A.43.1,0.9999999942691042,757,False
Q1DFS2,1.B.61.1,2.A.97.1,0.9629321355825375,763,False
Q72DY0,1.B.61.1,1.C.136.1,0.38347912848005733,764,False
Q07KZ2,1.B.62.1,8.A.18.1,0.7290642692632144,772,False
A6DTR9,1.B.62.1,8.A.18.3,0.4050302293135533,773,False
D2QNK6,1.B.63.1,1.C.136.1,0.38355065834138063,778,False
B2RL31,1.B.63.1,1.C.136.1,0.38355065834138063,779,False
F9EV82,1.B.65.1,2.A.131.1,0.9610601534201412,788,False
I3DIB8,1.B.65.1,2.A.131.1,0.9991111193905865,789,False
F6D908,1.B.68.1,8.A.180.1,0.5402027653536415,793,False
A0BTG7,1.B.69.1,9.A.57.1,0.9984871628103003,800,False
Q4PEM6,1.B.69.1,1.C.48.1,1.0,801,False
Q6GQ39,1.B.69.2,8.A.68.1,0.9245563835003212,806,False
A4WXA3,1.B.7.1,8.A.18.3,0.45039428446316004,813,False
Q5HB83,1.B.7.1,9.B.231.1,1.0,814,False
Q2K0Q0,1.B.70.1,8.A.180.1,0.6214323777905646,827,False
Q9L7A9,1.B.70.1,8.A.180.1,0.6214323777905646,828,False
Q44665,1.B.70.1,8.A.180.1,0.6214323777905646,829,False
L0G408,1.B.73.1,8.A.177.1,1.0,834,False
E4T302,1.B.73.2,9.A.43.1,0.9970690698628348,836,False
C6XPW9,1.B.75.1,8.A.18.3,0.5033239046625972,842,False
Q1CZE8,1.B.75.1,9.A.43.1,0.9857398532155883,843,False
F8CR23,1.B.75.2,8.A.18.3,0.5033239046625972,845,False
Q7VAD5,1.B.75.3,1.A.37.3,0.9999999978627787,847,False
Q4KCN5,1.B.76.1,9.B.456.1,0.9999999976466729,853,False
P36649,1.B.76.1,9.B.241.2,1.0,854,False
R7QJ14,1.B.77.1,9.B.88.1,0.8417009249925553,863,False
F4H7F7,1.B.77.1,9.B.19.1,0.9999999865983773,864,False
W7TBY2,1.B.77.2,8.A.68.1,0.9968228967625595,868,False
A5G7L3,1.B.78.1,8.A.18.3,0.4104590708954408,873,False
L1L857,1.B.79.1,1.C.48.1,1.0,875,False
F2IHT4,1.B.81.1,8.A.18.3,0.4674713279783333,888,False
WP_020562207,1.B.81.1,8.A.18.3,0.4674713279783333,889,False
W0A8H9,1.B.81.1,8.A.18.3,0.4674713279783333,890,False
F8GDI1,1.B.81.1,8.A.18.3,0.4674713279783333,891,False
WP_054039809,1.B.81.2,8.A.18.3,0.4674713279783333,893,False
A5C9I8,1.B.82.1,9.A.43.1,1.0,896,False
OGR70538,1.B.84.1,1.B.84.1,1.0,903,False
NLW31479,1.B.84.1,1.B.84.1,0.9999999858943158,904,False
S2XLX4,1.B.85.1,1.C.63.1,0.9484391498087195,909,False
WP_094626014,1.B.85.1,8.A.15.1,1.0,910,False
CBA75730,1.B.92.1,9.A.43.1,0.9999999999999993,917,False
WP_132308094,1.B.92.1,9.A.43.1,1.0,918,False
WP_101656401,1.B.92.2,9.B.146.1,0.9999999999997056,919,False
WP_052632100,1.B.95.1,2.A.62.1,0.40350891594384797,922,False
Q63IQ6,1.B.95.2,1.B.95.5,1.0,925,False
WP_104228733,1.B.95.3,2.A.62.1,0.40350891594384797,930,False
NBO10119,1.B.95.3,2.A.62.1,0.40350891594384797,931,False
WP_068467660,1.B.95.4,2.A.62.1,0.40350891594384797,934,False
WP_105313043,1.B.95.5,8.A.77.1,1.0,937,False
T0PS78,1.C.10.1,8.A.18.3,0.41228776175776327,939,False
XP_008608581,1.C.10.2,8.A.90.2,1.0,942,False
B3MQ48,1.C.10.3,1.W.8.1,1.0,944,False
EKF9241902,1.C.100.1,2.A.131.1,1.0,947,False
AZY88389,1.C.101.1,2.A.131.1,0.531622572476754,952,False
C6SS71,1.C.102.1,1.C.136.1,0.49839306138095135,954,False
POR31694,1.C.104.1,1.W.4.1,0.9999999999892335,960,False
XP_016642337,1.C.104.1,1.W.5.1,1.0,961,False
XP_008081830,1.C.104.2,2.A.97.1,1.0,966,False
XP_007925356,1.C.104.3,1.M.7.1,0.9999991496247777,968,False
O06497,1.C.106.1,9.B.50.1,1.0,972,False
Q9I788,1.C.106.4,9.B.50.1,1.0,974,False
P81605,1.C.108.1,1.B.39.1,0.5885284158540907,975,False
XP_014317300,1.C.108.2,9.B.19.1,0.9999999999999774,979,False
Q6UXR3,1.C.108.3,1.B.39.1,0.5885284158540907,980,False
J8IXD8,1.C.109.1,1.A.22.1,0.7230321057649881,985,False
C7BYV0,1.C.109.1,1.A.22.1,0.7230321057649881,986,False
A1YKW7,1.C.11.1,1.C.136.1,0.38347912848005733,994,False
AEH33294,1.C.11.1,1.C.2.2,0.9999999637569432,995,False
G3WS63,1.C.110.1,8.A.18.1,0.48960305357159833,998,False
Q9H2X3,1.C.111.1,9.B.38.2,0.9999996704335001,1013,False
Q5QGZ9,1.C.111.1,1.C.132.1,0.9999999999956517,1014,False
P05451,1.C.111.1,1.B.84.1,0.5551512233326089,1015,False
Q07108,1.C.111.1,1.C.48.1,1.0,1016,False
P67153,1.C.113.1,1.C.63.1,0.6809261791954324,1026,False
Q86V24,1.C.113.1,9.B.20.3,1.0,1027,False
Q8TEZ7,1.C.113.1,8.A.183.1,1.0,1028,False
Q8IY49,1.C.113.2,2.A.25.1,1.0,1031,False
Q7YZB4,1.C.114.1,2.A.62.1,0.4358368419238857,1036,False
K4PXJ9,1.C.115.1,8.A.144.1,0.9999702995220054,1041,False
P45884,1.C.115.1,9.B.443.1,1.0,1042,False
E9EKK1,1.C.119.1,1.C.136.1,0.4999861616934025,1047,False
M5N9T8,1.C.119.1,1.C.136.1,0.4999861616934025,1048,False
P04347,1.C.121.1,1.C.48.1,1.0,1050,False
Q56CZ9,1.C.122.1,1.B.84.1,0.6317477013978181,1052,False
P82427,1.C.124.1,8.A.187.1,0.5257264466064882,1057,False
AEX09222,1.C.124.1,8.A.187.1,0.5257264466064882,1058,False
AHN67314,1.C.126.1,1.A.22.1,0.7230321057649881,1062,False
AAA32327,1.C.129.1,8.A.187.1,0.698041427257308,1065,False
B7PSG2,1.C.13.1,8.A.91.1,1.0,1070,False
J9HUA3,1.C.13.1,8.A.91.1,1.0,1071,False
WP_072053873,1.C.130.1,8.A.18.3,0.4117943665172195,1075,False
XP_039042682,1.C.132.1,8.A.77.1,1.0,1081,False
WP_168566867,1.C.132.1,1.B.84.1,1.0,1082,False
WP_241450605,1.C.136.1,1.C.136.1,0.4992489914840823,1084,False
Q1ELT9,1.C.138.1,1.A.22.1,0.43339120624243355,1087,False
Q1ELU4,1.C.138.2,1.A.138.1,0.9999323853807007,1088,False
WP_047703972,1.C.14.1,8.A.144.1,1.0,1094,False
D1J6Q5,1.C.14.1,8.A.177.1,1.0,1095,False
CAC42164,1.C.18.1,8.A.51.1,0.5996850016662354,1098,False
P82270,1.C.19.1,8.A.59.1,0.6743856157846492,1104,False
Q6EZF9,1.C.19.1,8.A.59.1,0.3940327788915623,1105,False
AWG87247,1.C.2.1,9.A.19.1,0.9999999457445433,1117,False
WP_132821133,1.C.2.1,9.A.43.1,1.0,1118,False
KAB2896819,1.C.2.1,9.A.43.1,1.0,1119,False
Q9ZIU5,1.C.2.2,9.A.43.1,1.0,1122,False
P56955,1.C.2.3,2.A.26.1,0.9999999999009561,1125,False
P08136,1.C.20.1,2.A.62.1,0.4036180362771263,1130,False
O68586,1.C.20.1,2.A.62.1,0.4036180362771263,1131,False
WWQ01948,1.C.20.2,2.A.62.1,0.4036180362771263,1134,False
P84962,1.C.24.1,1.C.63.1,0.6808754901548856,1147,False
P83002,1.C.24.1,1.C.63.1,0.6808754901548856,1148,False
Q6TGQ7,1.C.24.1,1.C.63.1,0.6808754901548856,1149,False
WP_080375718,1.C.24.1,1.C.63.1,0.6808754901548856,1150,False
WP_098856434,1.C.26.1,1.C.136.1,0.49839306138095135,1153,False
Q83TS1,1.C.31.1,2.A.62.1,0.38121111427726784,1156,False
A7GJP5,1.C.31.2,2.A.62.1,0.38121111427726784,1157,False
P49913,1.C.33.1,1.C.136.1,0.4976037984811241,1167,False
P54228,1.C.33.1,1.C.136.1,0.4976037984811241,1168,False
ASN73764,1.C.33.1,1.C.136.1,0.4976037984811241,1169,False
WP_121688872,1.C.37.1,9.B.19.1,0.9985532419064572,1180,False
WP_142504358,1.C.37.1,8.A.68.1,0.9899140520791707,1181,False
CRH85725,1.C.37.1,8.A.18.3,0.5064379751173325,1182,False
XP_010767831,1.C.38.1,1.C.136.1,0.4999861616934025,1196,False
Q5UCA8,1.C.38.1,1.C.136.1,0.4999861616934025,1197,False
P07845,1.C.38.1,1.C.136.1,0.4999861616934025,1198,False
P0DQV7,1.C.38.1,1.C.136.1,0.4999861616934025,1199,False
C0RWX4,1.C.40.1,2.A.122.1,1.0,1206,False
P11597,1.C.40.1,2.A.122.1,1.0,1207,False
B5ABT1,1.C.40.2,9.B.366.1,0.9999999532784454,1208,False
B2LWZ1,1.C.42.1,8.A.144.1,1.0,1213,False
O06498,1.C.42.1,1.C.48.1,0.993368537602994,1214,False
P08943,1.C.44.1,1.G.20.1,0.5300504808982219,1216,False
Q9PW56,1.C.46.1,1.C.2.1,1.0,1218,False
P01160,1.C.46.2,9.A.35.1,1.0,1221,False
B7PQR1,1.C.47.1,9.B.50.1,1.0,1230,False
I1T3C7,1.C.47.1,1.C.136.1,0.4976037984811241,1231,False
C3Z4F2,1.C.47.1,8.A.68.1,0.5700327405923784,1232,False
Q53I06,1.C.47.2,9.A.35.1,1.0,1233,False
F6LCB3,1.C.47.3,1.C.136.1,0.4976037984811241,1237,False
Q07A30,1.C.47.4,9.B.50.1,1.0,1238,False
Q9UKY0,1.C.48.1,9.A.43.1,0.9857398532156043,1242,False
P06881,1.C.49.1,1.C.136.1,0.3797330980924509,1244,False
NFF70739,1.C.5.1,8.A.91.1,1.0,1247,False
R7ZEE7,1.C.5.2,9.A.43.1,0.985739853215592,1250,False
Q45728,1.C.5.3,2.A.97.1,0.9999669042046592,1251,False
T2MFP9,1.C.50.1,2.A.45.2,1.0,1255,False
Q07932,1.C.51.1,1.C.136.1,0.49998017839101927,1256,False
P69178,1.C.54.1,1.C.136.1,0.4999999569058921,1257,False
P0A3W8,1.C.55.1,1.A.22.1,0.7889845638670108,1258,False
F2JTE2,1.C.56.1,2.A.62.1,0.38049547381183485,1262,False
WP_089964624,1.C.61.1,1.B.84.1,0.6094492259691834,1266,False
L0CMD2,1.C.62.1,8.A.187.1,0.5257264466064882,1270,False
XP_015918646,1.C.63.1,8.A.210.1,0.9999995446405661,1273,False
Q6BF25,1.C.64.1,1.C.136.1,0.3898187317382783,1285,False
MBA8650993,1.C.64.1,1.C.136.1,0.3898187317382783,1286,False
WP_141754689,1.C.64.1,1.C.136.1,0.3898187317382783,1287,False
Q5Y4S2,1.C.65.1,9.A.57.1,0.9999986200084835,1291,False
Q9L6W3,1.C.65.2,9.A.43.1,1.0,1292,False
P33432,1.C.66.1,1.B.84.1,0.9999999858943158,1293,False
C4M9N5,1.C.67.1,1.A.13.1,1.0,1295,False
P83250,1.C.68.1,8.A.187.1,0.5257264466064882,1297,False
WP_030364034,1.C.7.1,8.A.67.1,1.0,1299,False
KID84774,1.C.7.2,1.A.21.1,0.9959280854302673,1301,False
WP_062552397,1.C.70.1,8.A.140.1,1.0,1306,False
A5N971,1.C.71.1,1.C.136.1,0.4999998701080597,1310,False
S8E3M3,1.C.71.2,1.C.136.1,0.4999998701080597,1314,False
P01382,1.C.74.1,8.A.187.1,0.5257264466064882,1321,False
Q8QGR0,1.C.74.1,8.A.187.1,0.5257264466064882,1322,False
B1Z6U1,1.C.75.1,1.C.113.1,1.0,1329,False
AKC96038,1.C.75.1,8.A.178.1,1.0,1330,False
